molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_relation,assay_type,assay_chembl_id,document_chembl_id
CHEMBL267865,CCCCc1ccc(/N=C/NO)c(C)c1,4.07,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL356594,CCCCOc1ccc(-c2cc(C)[nH]n2)cc1,4.09,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL444533,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccccc3)o2)C[C@H]1C(=O)NCC(F)(F)F,4.81,IC50,=,A,CHEMBL663538,CHEMBL1146635
CHEMBL150653,CCCCOc1ccc(-c2ccccn2)cc1,4.05,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL151170,CCCCOc1ccc(-c2c[nH]cn2)cc1,5.22,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL150999,CCCCOc1ccc(-c2ncc[nH]2)cc1,6.03,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL151207,CCCCOc1ccc(-n2cnc(C)c2)cc1,5.11,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL273921,O=C1c2ccccc2CCCN1CCN1CCC(n2c(O)nc3cc(F)ccc32)CC1,5.00,IC50,=,A,CHEMBL663541,CHEMBL1136643
CHEMBL10921,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,4.43,IC50,=,A,CHEMBL659097,CHEMBL1135959
CHEMBL312238,CC(C)(C)NC(=O)[C@@H]1CN(C(C)(C)c2cc3cnccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,5.61,IC50,=,A,CHEMBL760333,CHEMBL1134901
CHEMBL170,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,6.21,IC50,=,A,CHEMBL663531,CHEMBL1145023
CHEMBL1294,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,8.48,IC50,=,A,CHEMBL663531,CHEMBL1145023
CHEMBL355539,COc1ccc2c(CN(C)C)cc(=O)oc2c1,4.13,IC50,=,A,CHEMBL663531,CHEMBL1145023
